Nick,Rodzaj zamka,Ilość wszystkich prób,Ilość udanych prób,Ilość nieudanych prób,Skuteczność,Śr. czas
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,VeryEasy,15,15,0,100.0%,6.33s
Anu,Basic,8,0,8,0.0%,4.09s
Anu,Medium,8,0,8,0.0%,4.63s
Anu,Advanced,14,0,14,0.0%,4.75s
Anu,DialLock,6,0,6,0.0%,5.0s
KaczoriX69,VeryEasy,2,2,0,100.0%,4.77s
KaczoriX69,Basic,1,0,1,0.0%,10.0s
KaczoriX69,DialLock,3,0,3,0.0%,36.16s
Poduszka,VeryEasy,1,1,0,100.0%,19.97s
Robert,VeryEasy,5,4,1,80.0%,8.72s
Szturman,VeryEasy,18,18,0,100.0%,6.98s

Anu,Advanced,1123,330,793,29.39%,5.04s

Anu,,2246,660,1586,29.39%,5.04s
KaczoriX69,,132,44,88,33.33%,16.98s
Poduszka,,22,22,0,100.0%,19.97s
Robert,,110,88,22,80.0%,8.72s
Szturman,,396,396,0,100.0%,6.98s

Anu,,2247,660,1587,29.37%,5.25s
KaczoriX69,,132,44,88,33.33%,16.98s
Poduszka,,22,22,0,100.0%,19.97s
Robert,,110,88,22,80.0%,8.72s
Szturman,,396,396,0,100.0%,6.98s
